event_id,category,tags_count,posted_days_before_event,promotion_spend,max_participants,ticket_price,organizer_reputation,avg_past_attendance_rate,ctr,social_mentions,weekday,city,checked_in_count,revenue,attendance_rate,success
60,EDUCATION,4,1,0,200,51.33,0.297,0.972,0.0584,3,2,small,174,8931.42,0.8715033408804157,1
61,OTHER,1,23,970,50,524.71,0.81,0.41,0.3001,12,6,large,48,25186.08,0.95,1
62,OTHER,3,29,437,500,52.53,0.798,0.584,0.3483,9,3,medium,475,24951.75,0.95,1
63,OTHER,4,21,364,1000,62.32,0.134,0.478,0.2338,8,3,small,663,41318.16,0.6633162631568611,1
64,ART,1,29,354,50,120.82,0.102,0.894,0.2877,4,5,medium,48,5799.36,0.95,1
65,OTHER,2,1,0,200,64.49,0.707,0.605,0.4435,5,0,small,153,9866.97,0.7634119958383107,1
66,ART,3,31,146,500,588.98,0.513,0.383,0.1043,13,3,small,295,173749.1,0.5902993662779217,1
67,SPORTS,6,15,669,50,0.0,0.615,0.324,0.0191,8,1,small,47,0.0,0.9444039727896357,1
68,TECH,5,16,186,50,124.73,0.707,0.517,0.1608,7,3,large,48,5987.04,0.95,1
69,ART,5,15,550,500,0.0,0.787,0.495,0.2816,7,0,small,475,0.0,0.95,1
70,SPORTS,4,33,15,50,118.03,0.486,0.394,0.306,9,4,small,42,4957.26,0.8347700664973684,1
71,EDUCATION,0,7,284,50,54.7,0.742,0.628,0.2284,8,6,small,48,2625.6,0.95,1
72,HEALTH,1,4,60,1000,220.84,0.24,0.334,0.5889,7,2,small,764,168721.76,0.7635334424519291,1
73,SPORTS,2,52,256,50,251.81,0.867,0.365,0.007,11,5,small,46,11583.26,0.9193287880806635,1
74,HEALTH,0,9,643,200,59.49,0.75,0.727,0.1576,6,2,large,190,11303.1,0.95,1
75,ART,3,1,386,50,61.92,0.897,0.291,0.1676,11,0,medium,41,2538.72,0.8143509654512667,1
76,TECH,5,17,532,500,250.29,0.3,0.302,0.2622,4,4,small,452,113131.08,0.9033967564451597,1
77,SPORTS,1,6,505,100,254.43,0.667,0.655,0.2271,8,5,medium,95,24170.85,0.95,1
78,TECH,3,29,460,50,747.99,0.337,0.45,0.1621,6,2,medium,42,31415.58,0.8307749143917278,1
79,OTHER,2,7,431,100,0.0,0.963,0.549,0.5173,14,1,medium,95,0.0,0.95,1
80,EDUCATION,2,1,634,100,0.0,0.831,0.353,0.4146,11,3,large,95,0.0,0.95,1
81,SPORTS,5,4,268,1000,223.29,0.158,0.881,0.104,3,5,large,949,211902.21,0.9493991163581227,1
82,OTHER,4,79,317,100,239.55,0.716,0.459,0.0771,18,1,medium,82,19643.1,0.8196697220600428,1
83,ART,3,34,91,50,128.65,0.966,0.685,0.019,13,0,small,45,5789.25,0.895949992321692,1
84,HEALTH,4,27,183,50,63.39,0.78,0.856,0.1578,14,5,small,48,3042.72,0.95,1
85,HEALTH,1,54,1102,50,545.59,0.824,0.344,0.145,13,0,medium,38,20732.42,0.768610966276657,1
86,TECH,5,2,198,50,148.93,0.27,0.594,0.3329,6,2,small,39,5808.27,0.774626057502622,1
87,ART,4,9,125,50,128.57,0.635,0.158,0.2487,5,4,medium,46,5914.22,0.9162687022058614,1
88,TECH,4,1,0,100,612.98,0.68,0.402,0.3214,9,6,large,95,58233.1,0.95,1
89,TECH,3,13,18,50,261.4,0.702,0.57,0.5379,10,3,medium,48,12547.2,0.95,1
90,ART,3,56,502,50,61.14,0.685,0.553,0.475,6,2,large,48,2934.72,0.95,1
91,EDUCATION,4,10,144,100,118.5,0.497,0.703,0.2369,9,1,medium,95,11257.5,0.95,1
92,EDUCATION,2,10,250,500,0.0,0.884,0.824,0.1253,7,6,small,475,0.0,0.95,1
93,EDUCATION,5,10,0,500,0.0,0.249,0.37,0.3697,7,2,large,475,0.0,0.95,1
94,OTHER,2,3,0,50,110.07,0.35,0.502,0.4339,6,1,small,31,3412.17,0.6187815156831958,1
95,TECH,3,8,234,100,639.94,0.285,0.476,0.204,3,5,small,71,45435.74,0.7147576170198361,1
96,OTHER,0,4,0,200,232.74,0.349,0.089,0.311,6,6,medium,156,36307.44,0.7815442900429254,1
97,SPORTS,1,13,752,100,61.38,0.047,0.65,0.0942,5,2,small,86,5278.68,0.8586668261811818,1
98,TECH,3,3,327,100,68.11,0.197,0.258,0.5862,7,3,small,86,5857.46,0.8632087575048077,1
99,SPORTS,2,8,593,200,0.0,0.446,0.609,0.2383,5,3,small,190,0.0,0.95,1
100,ART,4,1,467,200,100.16,0.936,0.129,0.2241,9,3,small,190,19030.4,0.95,1
101,HEALTH,4,42,479,500,120.33,0.227,0.712,0.1374,3,0,medium,342,41152.86,0.6840965308756886,1
102,ART,6,12,385,100,221.3,0.474,0.726,0.2767,8,3,medium,95,21023.5,0.95,1
103,SPORTS,5,1,19,100,51.12,0.299,0.471,0.1027,5,6,small,93,4754.16,0.9287273457222596,1
104,OTHER,3,13,0,200,229.27,0.882,0.746,0.009,8,6,medium,190,43561.3,0.95,1
105,HEALTH,3,20,0,500,0.0,0.27,0.155,0.1424,4,5,large,475,0.0,0.95,1
106,ART,2,39,273,50,128.17,0.376,0.376,0.0357,3,0,small,31,3973.27,0.620869112364546,1
107,HEALTH,2,5,20,500,569.94,0.356,0.183,0.2343,5,0,small,179,102019.26,0.35874949790571103,0
108,TECH,2,8,50,200,126.25,0.649,0.838,0.376,6,2,medium,190,23987.5,0.95,1
109,EDUCATION,4,28,0,100,56.83,0.95,0.775,0.1557,10,2,medium,95,5398.85,0.95,1
110,TECH,3,36,0,50,620.66,0.68,0.649,0.4291,11,6,small,48,29791.68,0.95,1
111,OTHER,3,3,265,50,117.0,0.492,0.612,0.4384,4,5,medium,48,5616.0,0.95,1
112,ART,1,12,366,500,61.9,0.616,0.672,0.2639,6,5,medium,475,29402.5,0.95,1
113,EDUCATION,4,2,772,200,530.64,0.682,0.634,0.4934,8,2,small,190,100821.6,0.95,1
114,EDUCATION,3,1,0,200,510.52,0.175,0.755,0.1953,9,4,large,139,70962.28,0.6934008632880452,1
115,HEALTH,4,27,0,500,62.66,0.747,0.606,0.2181,8,0,medium,475,29763.5,0.95,1
116,TECH,2,11,0,50,0.0,0.678,0.803,0.1789,5,2,small,48,0.0,0.95,1
117,HEALTH,4,6,207,50,121.28,0.551,0.484,0.1586,5,1,medium,40,4851.2,0.7981023764463664,1
118,HEALTH,5,3,434,100,0.0,0.214,0.196,0.0997,3,6,large,87,0.0,0.8730010304743833,1
119,TECH,2,16,0,50,245.85,0.362,0.478,0.1161,6,1,small,29,7129.65,0.5857479833553132,1
120,SPORTS,4,4,565,100,63.34,0.461,0.802,0.3208,5,1,small,91,5763.94,0.9094368282350919,1
121,TECH,0,14,755,50,142.8,0.766,0.594,0.3117,15,6,small,48,6854.4,0.95,1
122,OTHER,3,10,0,100,112.06,0.526,0.208,0.4058,6,6,small,86,9637.16,0.8580893795618174,1
123,ART,2,1,228,500,124.37,0.464,0.195,0.3854,6,5,large,475,59075.75,0.95,1
124,HEALTH,1,49,0,50,54.47,0.784,0.481,0.3155,11,5,large,48,2614.56,0.95,1
125,HEALTH,9,6,533,100,518.07,0.564,0.938,0.1981,10,1,medium,92,47662.44,0.9226957684144211,1
126,EDUCATION,1,7,0,50,0.0,0.201,0.632,0.0863,6,0,medium,48,0.0,0.95,1
127,OTHER,2,5,108,1000,52.66,0.622,0.524,0.1706,7,4,small,808,42549.28,0.8076012929564594,1
128,TECH,2,8,506,50,0.0,0.628,0.414,0.2054,7,4,small,48,0.0,0.95,1
129,ART,2,1,1212,50,0.0,0.013,0.536,0.2986,2,2,large,37,0.0,0.7424497392691768,1
130,TECH,0,6,869,50,60.75,0.421,0.323,0.4644,13,2,medium,48,2916.0,0.95,1
131,SPORTS,2,2,0,1000,104.2,0.968,0.178,0.2532,10,2,medium,937,97635.4,0.9373583528398931,1
132,HEALTH,3,1,0,100,50.65,0.146,0.84,0.3582,4,5,medium,95,4811.75,0.95,1
133,ART,1,14,123,100,518.81,0.853,0.784,0.209,8,0,small,91,47211.71,0.911287722341279,1
134,SPORTS,0,6,0,200,238.96,0.573,0.951,0.074,7,1,medium,190,45402.4,0.95,1
135,SPORTS,8,2,297,200,564.23,0.586,0.668,0.2606,7,0,small,163,91969.49,0.8148646518740381,1
136,ART,6,2,0,200,549.22,0.61,0.53,0.1316,14,6,small,140,76890.8,0.7015503097293466,1
137,ART,3,9,112,200,121.28,0.524,0.401,0.2703,5,0,medium,186,22558.08,0.9305797902985418,1
138,HEALTH,4,60,0,50,0.0,0.337,0.482,0.346,1,2,medium,43,0.0,0.8638214457795217,1
139,TECH,6,3,106,200,276.89,0.576,0.637,0.599,8,0,medium,190,52609.1,0.95,1
140,EDUCATION,2,7,570,50,100.55,0.752,0.854,0.1621,10,0,small,48,4826.4,0.95,1
141,HEALTH,2,8,706,100,57.68,0.428,0.675,0.0969,6,4,small,86,4960.48,0.856588164449586,1
142,ART,0,2,0,100,0.0,0.701,0.703,0.0613,20,5,small,83,0.0,0.8339317090561541,1
143,SPORTS,2,1,0,100,101.67,0.146,0.651,0.257,5,6,medium,88,8946.96,0.8778815136415845,1
144,TECH,3,21,172,100,69.04,0.488,0.272,0.5482,12,5,small,95,6558.8,0.95,1
145,HEALTH,1,1,467,100,569.63,0.149,0.774,0.1383,8,3,medium,48,27342.24,0.483013906418534,0
146,TECH,3,19,0,200,270.12,0.607,0.44,0.409,7,2,large,190,51322.8,0.95,1
147,HEALTH,5,17,36,50,50.79,0.314,0.629,0.2843,8,4,medium,48,2437.92,0.95,1
148,SPORTS,3,12,458,100,255.36,0.091,0.264,0.2928,3,0,small,68,17364.48,0.6815860029825633,1
149,SPORTS,1,10,0,50,225.5,0.467,0.809,0.0763,11,5,large,48,10824.0,0.95,1
150,ART,1,1,0,50,524.69,0.691,0.373,0.2372,8,3,small,36,18888.84,0.7286201398311399,1
151,HEALTH,4,5,0,100,213.55,0.587,0.58,0.2144,10,1,small,81,17297.55,0.805978684504021,1
152,HEALTH,3,18,458,200,559.87,0.6,0.132,0.4539,6,0,medium,188,105255.56,0.9403793349989945,1
153,EDUCATION,4,6,472,100,0.0,0.176,0.346,0.2099,4,0,small,71,0.0,0.7126158715631201,1
154,EDUCATION,1,8,162,500,509.33,0.728,0.126,0.5024,3,1,medium,446,227161.18,0.8928701367601604,1
155,EDUCATION,3,48,697,50,0.0,0.278,0.363,0.606,9,1,small,45,0.0,0.8974520748933318,1
156,OTHER,5,19,54,50,205.22,0.33,0.196,0.1848,8,4,large,41,8414.02,0.8148437220903706,1
157,TECH,1,1,0,500,126.14,0.737,0.154,0.5434,8,4,small,475,59916.5,0.95,1
158,EDUCATION,3,9,599,50,128.74,0.317,0.46,0.0297,4,3,large,42,5407.08,0.8360598902611105,1
159,EDUCATION,4,28,222,50,58.94,0.673,0.31,0.6246,7,3,large,48,2829.12,0.95,1
160,SPORTS,1,4,607,100,628.75,0.264,0.654,0.5637,8,1,small,77,48413.75,0.7738683248957664,1
161,HEALTH,3,11,24,200,101.53,0.823,0.164,0.2395,11,5,small,190,19290.7,0.95,1
162,EDUCATION,2,13,247,100,57.92,0.31,0.446,0.2291,7,3,medium,95,5502.4,0.95,1
163,HEALTH,0,17,186,200,561.18,0.673,0.207,0.0597,17,4,large,169,94839.42,0.8453072802361888,1
164,TECH,4,30,0,200,64.4,0.734,0.268,0.2626,7,5,small,190,12236.0,0.95,1
165,TECH,0,1,205,100,658.81,0.924,0.452,0.0782,6,4,large,90,59292.9,0.8993426833229142,1
166,EDUCATION,2,14,318,200,59.91,0.428,0.494,0.2762,2,1,small,175,10484.25,0.8736952359886099,1
167,ART,1,17,817,100,54.64,0.437,0.34,0.2381,7,0,medium,84,4589.76,0.8445226529587069,1
168,TECH,2,9,502,100,306.51,0.37,0.189,0.3637,10,2,medium,90,27585.9,0.9017700374945349,1
169,ART,3,5,379,100,252.54,0.844,0.433,0.2001,5,0,large,95,23991.3,0.95,1
170,OTHER,1,19,254,100,54.08,0.239,0.55,0.2026,8,4,large,81,4380.48,0.8091349360354241,1
171,OTHER,7,13,250,200,52.32,0.424,0.267,0.4361,6,4,medium,190,9940.8,0.95,1
172,ART,3,6,44,100,624.49,0.254,0.877,0.1265,5,5,large,93,58077.57,0.9349735969174331,1
173,OTHER,1,1,242,200,0.0,0.472,0.708,0.6286,6,4,medium,190,0.0,0.95,1
174,ART,4,3,0,500,51.55,0.324,0.663,0.1235,1,0,medium,382,19692.1,0.7630823481872991,1
175,ART,6,45,1085,200,647.43,0.927,0.545,0.144,12,0,small,164,106178.52,0.8188461393807454,1
176,EDUCATION,2,30,0,1000,245.75,0.512,0.295,0.3638,0,0,medium,950,233462.5,0.95,1
177,OTHER,2,1,260,1000,60.45,0.672,0.642,0.06,8,4,large,948,57306.6,0.9479478610531282,1
178,HEALTH,1,12,487,200,107.15,0.919,0.558,0.238,9,1,large,190,20358.5,0.95,1
179,ART,2,21,481,50,114.68,0.287,0.359,0.2394,4,4,small,44,5045.92,0.8845524931008504,1
180,OTHER,1,2,245,100,243.72,0.685,0.484,0.243,12,1,medium,85,20716.2,0.8459474412109509,1
181,OTHER,5,1,554,50,523.22,0.776,0.273,0.2219,9,3,medium,37,19359.14,0.74388692656902,1
182,OTHER,3,2,597,200,119.16,0.694,0.912,0.5167,9,4,small,190,22640.4,0.95,1
183,EDUCATION,3,2,267,100,583.11,0.036,0.254,0.2468,2,2,small,38,22158.18,0.38149475184754933,0
184,EDUCATION,4,1,185,1000,127.09,0.612,0.5,0.2974,6,0,medium,950,120735.5,0.95,1
185,OTHER,1,20,603,200,54.67,0.377,0.375,0.1391,7,2,medium,169,9239.23,0.8431284185457619,1
186,TECH,1,8,0,200,60.95,0.63,0.868,0.4347,8,3,small,190,11580.5,0.95,1
187,ART,6,9,184,100,248.05,0.272,0.488,0.0642,2,2,medium,90,22324.5,0.8985692893005455,1
188,TECH,6,15,533,50,260.01,0.814,0.222,0.3153,10,5,medium,48,12480.48,0.95,1
189,EDUCATION,1,13,352,100,0.0,0.361,0.52,0.457,2,6,large,95,0.0,0.95,1
190,HEALTH,2,12,0,500,0.0,0.249,0.484,0.337,9,6,medium,475,0.0,0.95,1
191,OTHER,3,4,309,50,0.0,0.479,0.607,0.2248,10,6,small,47,0.0,0.9477210324228525,1
192,SPORTS,2,98,611,100,127.79,0.441,0.219,0.1784,6,1,small,64,8178.56,0.6426887274609707,1
193,TECH,1,21,0,100,634.19,0.33,0.852,0.5627,9,0,medium,95,60248.05,0.95,1
194,OTHER,4,4,302,100,0.0,0.979,0.783,0.3376,11,0,small,95,0.0,0.95,1
195,HEALTH,2,15,495,1000,62.12,0.348,0.589,0.528,11,1,medium,950,59014.0,0.95,1
196,EDUCATION,1,8,0,50,116.79,0.337,0.532,0.1558,6,4,small,46,5372.34,0.9296812166683871,1
197,HEALTH,3,24,121,100,61.11,0.528,0.615,0.2698,6,5,medium,95,5805.45,0.95,1
198,HEALTH,3,12,645,100,213.42,0.731,0.452,0.2266,2,0,medium,95,20274.9,0.9490754671997517,1
199,ART,3,2,70,200,583.97,0.674,0.464,0.2355,11,4,large,155,90515.35,0.7772745042077474,1
200,TECH,3,2,311,200,139.27,0.277,0.71,0.1751,7,1,medium,157,21865.39,0.7872379020094301,1
201,SPORTS,3,41,0,50,104.78,0.771,0.554,0.0482,7,0,large,48,5029.44,0.95,1
202,HEALTH,2,9,457,50,53.98,0.256,0.718,0.3932,3,1,medium,44,2375.12,0.8733217884702447,1
203,ART,4,24,102,100,510.45,0.105,0.377,0.3118,6,1,large,56,28585.2,0.5573206247430913,1
204,HEALTH,4,1,155,100,606.63,0.598,0.47,0.1499,7,4,small,67,40644.21,0.6712419188466299,1
205,OTHER,1,3,507,500,57.09,0.346,0.68,0.1794,6,6,large,445,25405.05,0.8892145075152872,1
206,HEALTH,2,2,792,50,0.0,0.678,0.542,0.2897,8,6,small,48,0.0,0.95,1
207,SPORTS,2,40,330,200,0.0,0.503,0.531,0.32,8,3,small,159,0.0,0.7951824733828426,1
208,SPORTS,2,38,318,50,225.97,0.476,0.859,0.261,5,1,large,48,10846.56,0.95,1
209,EDUCATION,4,10,314,100,518.37,0.461,0.844,0.0413,9,0,large,88,45616.56,0.8800460282505418,1
210,ART,2,5,0,100,54.06,0.989,0.829,0.5004,10,4,medium,95,5135.7,0.95,1
211,HEALTH,3,49,42,100,535.04,0.687,0.923,0.5233,9,5,large,95,50828.8,0.95,1
212,TECH,1,7,689,100,0.0,0.331,0.564,0.2338,4,2,large,95,0.0,0.95,1
213,SPORTS,6,11,549,50,251.2,0.491,0.607,0.5551,5,1,medium,48,12057.6,0.95,1
214,TECH,2,12,0,100,0.0,0.474,0.701,0.0463,5,2,small,95,0.0,0.95,1
215,EDUCATION,3,16,13,1000,56.64,0.04,0.59,0.0575,3,2,small,676,38288.64,0.6759464385998715,1
216,OTHER,3,9,0,200,116.7,0.648,0.259,0.1004,8,2,medium,145,16921.5,0.7242272592058514,1
217,TECH,5,33,0,50,632.97,0.41,0.206,0.7925,3,3,medium,45,28483.65,0.892688629466857,1
218,HEALTH,3,1,127,200,528.2,0.242,0.505,0.4703,1,3,small,147,77645.4,0.7346746007360627,1
219,SPORTS,7,33,0,100,126.14,0.282,0.71,0.4547,4,5,medium,95,11983.3,0.95,1
220,EDUCATION,0,1,406,50,0.0,0.462,0.903,0.1214,7,1,medium,48,0.0,0.95,1
221,TECH,2,1,663,100,293.88,0.377,0.598,0.4756,3,3,large,95,27918.6,0.95,1
222,EDUCATION,6,4,299,50,56.13,0.285,0.311,0.1172,4,2,large,42,2357.46,0.8385450106061189,1
223,TECH,0,2,424,100,687.86,0.592,0.569,0.3896,10,1,medium,90,61907.4,0.9031823931551084,1
224,EDUCATION,8,1,310,200,244.67,0.408,0.79,0.1548,6,4,large,190,46487.3,0.95,1
225,EDUCATION,2,2,0,200,229.01,0.556,0.695,0.3496,8,4,medium,190,43511.9,0.95,1
226,OTHER,5,39,775,50,236.89,0.316,0.593,0.1556,8,3,large,37,8764.93,0.7466828098510456,1
227,OTHER,2,6,638,50,51.09,0.342,0.584,0.3614,1,1,large,46,2350.14,0.9291909264970255,1
228,HEALTH,2,13,126,50,62.09,0.391,0.753,0.5402,3,4,large,48,2980.32,0.95,1
229,TECH,5,29,0,100,660.16,0.501,0.327,0.4311,4,4,large,95,62715.2,0.95,1
230,TECH,3,10,88,100,123.72,0.591,0.239,0.2374,7,5,medium,95,11753.4,0.95,1
231,HEALTH,5,8,228,500,125.99,0.636,0.639,0.1094,4,1,small,475,59845.25,0.95,1
232,EDUCATION,4,14,0,100,56.86,0.535,0.833,0.231,8,2,large,95,5401.7,0.95,1
233,HEALTH,5,1,0,50,206.48,0.789,0.509,0.2823,12,1,small,44,9085.12,0.888838008585095,1
234,SPORTS,2,26,417,100,253.87,0.622,0.791,0.0335,8,4,small,95,24117.65,0.95,1
235,SPORTS,4,18,0,100,0.0,0.466,0.177,0.1397,9,6,medium,95,0.0,0.95,1
236,OTHER,6,25,19,100,50.61,0.702,0.574,0.2516,8,2,small,95,4807.95,0.95,1
237,TECH,2,18,178,100,70.97,0.442,0.149,0.2251,9,2,large,95,6742.15,0.95,1
238,SPORTS,4,2,0,200,0.0,0.853,0.839,0.3097,10,5,large,190,0.0,0.95,1
239,OTHER,0,5,168,100,120.17,0.599,0.691,0.4868,6,2,large,95,11416.15,0.95,1
240,SPORTS,2,1,109,50,649.37,0.706,0.31,0.2334,8,5,large,46,29871.02,0.9117069638085801,1
241,TECH,1,2,435,50,292.68,0.31,0.547,0.126,1,4,small,36,10536.48,0.719337316979918,1
242,TECH,1,4,664,200,664.78,0.249,0.673,0.3831,4,1,small,118,78444.04,0.5896268917648483,1
243,SPORTS,3,1,456,200,101.01,0.931,0.483,0.3049,10,3,small,190,19191.9,0.95,1
244,SPORTS,6,9,0,50,0.0,0.703,0.558,0.4123,6,3,small,48,0.0,0.95,1
245,HEALTH,6,42,0,200,104.91,0.192,0.371,0.2359,3,4,large,190,19932.9,0.95,1
246,HEALTH,4,9,565,100,55.82,0.675,0.215,0.0897,12,1,medium,90,5023.8,0.8997083947691682,1
247,HEALTH,4,1,0,1000,113.57,0.32,0.777,0.1822,4,3,large,925,105052.25,0.9251160499001116,1
248,OTHER,3,20,271,100,241.35,0.264,0.612,0.1919,8,5,small,84,20273.4,0.8443080473581722,1
249,TECH,1,35,579,100,71.77,0.537,0.786,0.1231,9,2,small,90,6459.3,0.8990790467140808,1
250,OTHER,3,15,598,100,643.39,0.491,0.589,0.0509,6,4,small,63,40533.57,0.6289845790989499,1
251,OTHER,6,10,75,100,258.16,0.783,0.906,0.4812,9,6,large,95,24525.2,0.95,1
252,EDUCATION,4,3,81,50,0.0,0.223,0.583,0.1577,0,4,small,40,0.0,0.8009176144494378,1
253,EDUCATION,2,17,505,500,563.53,0.258,0.358,0.2458,6,4,large,421,237246.13,0.8421456355437511,1
254,TECH,7,8,987,100,766.9,0.513,0.585,0.259,6,4,medium,95,72855.5,0.95,1
255,EDUCATION,3,1,0,200,223.93,0.465,0.893,0.5432,14,3,large,190,42546.7,0.95,1
256,HEALTH,9,16,0,500,223.15,0.605,0.828,0.4057,4,5,small,475,105996.25,0.95,1
